Velocity,Intensity
1.42e+02,5.00e-03
1.43e+02,7.50e-03
1.44e+02,-3.00e-02
1.44e+02,1.25e-02
1.45e+02,-4.50e-02
1.46e+02,-5.00e-03
1.47e+02,-2.50e-02
1.48e+02,-1.25e-02
1.48e+02,-3.00e-02
1.49e+02,3.50e-02
1.50e+02,7.25e-02
1.51e+02,9.00e-02
1.52e+02,2.50e-02
1.53e+02,1.00e-02
1.53e+02,2.25e-02
1.54e+02,3.75e-02
1.55e+02,-7.25e-02
1.56e+02,-1.00e-01
1.57e+02,-2.50e-02
1.58e+02,-3.00e-02
1.58e+02,-7.50e-03
1.59e+02,1.03e-01
1.60e+02,-3.25e-02
1.61e+02,-1.25e-02
1.62e+02,-5.00e-03
1.63e+02,-7.00e-02
1.63e+02,-5.75e-02
1.64e+02,-1.75e-02
1.65e+02,-2.00e-02
1.66e+02,1.75e-02
1.67e+02,2.50e-02
1.67e+02,-3.00e-02
1.68e+02,4.50e-02
1.69e+02,2.00e-02
1.70e+02,7.50e-03
1.71e+02,2.50e-03
1.72e+02,2.50e-02
1.72e+02,3.25e-02
1.73e+02,-5.00e-03
1.74e+02,2.00e-02
1.75e+02,3.25e-02
1.76e+02,-3.50e-02
1.77e+02,2.25e-02
1.77e+02,8.25e-02
1.78e+02,2.50e-02
1.79e+02,0.00e+00
1.80e+02,7.50e-02
1.81e+02,-1.25e-02
1.82e+02,-6.00e-02
1.82e+02,-4.50e-02
1.83e+02,-5.75e-02
1.84e+02,-8.75e-02
1.85e+02,-4.75e-02
1.86e+02,-1.25e-02
1.86e+02,8.00e-02
1.87e+02,-1.25e-02
1.88e+02,-9.25e-02
1.89e+02,3.75e-02
1.90e+02,2.25e-02
1.91e+02,4.25e-02
1.91e+02,8.00e-02
1.92e+02,5.50e-02
1.93e+02,1.50e-02
1.94e+02,-5.50e-02
1.95e+02,6.00e-02
1.96e+02,1.75e-02
1.96e+02,-2.50e-02
1.97e+02,2.50e-03
1.98e+02,3.25e-02
1.99e+02,-1.25e-02
2.00e+02,-2.49e-03
