# Column 1: Channel -> ID
# Column 2: Spectral axis -> Gas velocity in km/s
# Column 3: Intensity axis -> Brightness temperature in K
#
#  Channel     Spectral axis    Intensity
 3.06000E+02   -2.43030E+02    4.00009E-02
 3.07000E+02   -2.42207E+02   -5.74951E-02
 3.08000E+02   -2.41384E+02   -4.99725E-03
 3.09000E+02   -2.40561E+02    0.00000E+00
 3.10000E+02   -2.39738E+02   -3.25012E-02
 3.11000E+02   -2.38914E+02    6.00052E-02
 3.12000E+02   -2.38091E+02   -2.50015E-02
 3.13000E+02   -2.37268E+02    2.00043E-02
 3.14000E+02   -2.36445E+02   -1.75018E-02
 3.15000E+02   -2.35622E+02    2.50015E-02
 3.16000E+02   -2.34798E+02    0.00000E+00
 3.17000E+02   -2.33975E+02   -5.99976E-02
 3.18000E+02   -2.33152E+02   -5.50003E-02
 3.19000E+02   -2.32329E+02   -8.75015E-02
 3.20000E+02   -2.31506E+02   -8.75015E-02
 3.21000E+02   -2.30682E+02    8.25043E-02
 3.22000E+02   -2.29859E+02    2.24991E-02
 3.23000E+02   -2.29036E+02   -7.74994E-02
 3.24000E+02   -2.28213E+02   -9.24988E-02
 3.25000E+02   -2.27389E+02    2.75040E-02
 3.26000E+02   -2.26566E+02    8.00018E-02
 3.27000E+02   -2.25743E+02   -7.25021E-02
 3.28000E+02   -2.24920E+02   -4.99954E-02
 3.29000E+02   -2.24096E+02   -4.99725E-03
 3.30000E+02   -2.23273E+02   -2.24991E-02
 3.31000E+02   -2.22450E+02   -1.99966E-02
 3.32000E+02   -2.21627E+02   -4.99954E-02
 3.33000E+02   -2.20803E+02    5.24979E-02
 3.34000E+02   -2.19980E+02   -2.99988E-02
 3.35000E+02   -2.19157E+02    7.74994E-02
 3.36000E+02   -2.18333E+02   -2.50015E-02
 3.37000E+02   -2.17510E+02    1.00021E-02
 3.38000E+02   -2.16687E+02    3.25012E-02
 3.39000E+02   -2.15863E+02    1.75018E-02
 3.40000E+02   -2.15040E+02   -1.49994E-02
 3.41000E+02   -2.14217E+02    8.00018E-02
 3.42000E+02   -2.13394E+02    7.49969E-03
 3.43000E+02   -2.12570E+02   -1.75018E-02
 3.44000E+02   -2.11747E+02   -1.99966E-02
 3.45000E+02   -2.10924E+02    5.75027E-02
 3.46000E+02   -2.10100E+02    2.00043E-02
 3.47000E+02   -2.09277E+02   -3.74985E-02
 3.48000E+02   -2.08453E+02   -8.24966E-02
 3.49000E+02   -2.07630E+02   -3.74985E-02
 3.50000E+02   -2.06807E+02   -5.50003E-02
 3.51000E+02   -2.05983E+02   -1.07498E-01
 3.52000E+02   -2.05160E+02   -2.50015E-02
 3.53000E+02   -2.04337E+02   -2.49481E-03
 3.54000E+02   -2.03513E+02   -1.24969E-02
 3.55000E+02   -2.02690E+02    6.75049E-02
 3.56000E+02   -2.01866E+02   -3.25012E-02
 3.57000E+02   -2.01043E+02   -8.75015E-02
 3.58000E+02   -2.00220E+02   -4.75006E-02
 3.59000E+02   -1.99396E+02   -7.25021E-02
 3.60000E+02   -1.98573E+02   -7.25021E-02
 3.61000E+02   -1.97749E+02    3.50037E-02
 3.62000E+02   -1.96926E+02    8.00018E-02
 3.63000E+02   -1.96103E+02    8.00018E-02
 3.64000E+02   -1.95279E+02    2.24991E-02
 3.65000E+02   -1.94456E+02    2.99988E-02
 3.66000E+02   -1.93632E+02    2.50015E-02
 3.67000E+02   -1.92809E+02    4.00009E-02
 3.68000E+02   -1.91985E+02    3.74985E-02
 3.69000E+02   -1.91162E+02    0.00000E+00
 3.70000E+02   -1.90339E+02   -4.49982E-02
 3.71000E+02   -1.89515E+02   -2.99988E-02
 3.72000E+02   -1.88692E+02   -2.49481E-03
 3.73000E+02   -1.87868E+02   -1.49994E-02
 3.74000E+02   -1.87045E+02   -5.24979E-02
 3.75000E+02   -1.86221E+02   -4.24957E-02
 3.76000E+02   -1.85398E+02    4.00009E-02
 3.77000E+02   -1.84574E+02   -1.75018E-02
 3.78000E+02   -1.83751E+02    4.49982E-02
 3.79000E+02   -1.82927E+02   -8.00018E-02
 3.80000E+02   -1.82104E+02    1.25046E-02
 3.81000E+02   -1.81280E+02    9.00040E-02
 3.82000E+02   -1.80457E+02   -4.75006E-02
 3.83000E+02   -1.79633E+02    4.49982E-02
 3.84000E+02   -1.78810E+02    7.25021E-02
 3.85000E+02   -1.77986E+02    2.24991E-02
 3.86000E+02   -1.77163E+02    8.75015E-02
 3.87000E+02   -1.76339E+02    2.00043E-02
 3.88000E+02   -1.75516E+02    2.50244E-03
 3.89000E+02   -1.74692E+02   -1.49994E-02
 3.90000E+02   -1.73869E+02    6.75049E-02
 3.91000E+02   -1.73045E+02    2.75040E-02
 3.92000E+02   -1.72222E+02    4.75006E-02
 3.93000E+02   -1.71398E+02    2.50015E-02
 3.94000E+02   -1.70574E+02    4.00009E-02
 3.95000E+02   -1.69751E+02    2.00043E-02
 3.96000E+02   -1.68927E+02   -1.00021E-02
 3.97000E+02   -1.68104E+02    6.50024E-02
 3.98000E+02   -1.67280E+02    2.99988E-02
 3.99000E+02   -1.66457E+02   -6.25000E-02
 4.00000E+02   -1.65633E+02   -7.74994E-02
